0.00000 28541.98272
0.00086 28879.99153
0.00172 29255.96951
0.00258 29671.25633
0.00344 30127.12767
0.00430 30624.78722
0.00516 31165.35738
0.00602 31749.88054
0.00688 32379.30315
0.00774 33054.48231
0.00860 33776.17118
0.00946 34545.02292
0.01032 35361.57873
0.01118 36226.27050
0.01204 37139.41282
0.01290 38101.20698
0.01376 39111.73162
0.01462 40170.94409
0.01548 41278.68308
0.01634 42434.65935
0.01720 43638.46766
0.01806 44889.57613
0.01892 46187.33295
0.01978 47530.97162
0.02064 48919.60437
0.02150 50352.23279
0.02236 51827.74782
0.02322 53344.93110
0.02408 54902.46695
0.02494 56498.93840
0.02580 58132.83782
0.02666 59802.57095
0.02752 61506.45954
0.02838 63242.75336
0.02924 65009.63286
0.03010 66805.21319
0.03096 68627.55615
0.03182 70474.67693
0.03268 72344.54401
0.03354 74235.09392
0.03440 76144.23651
0.03526 78069.85632
0.03612 80009.82987
0.03698 81962.02437
0.03784 83924.30434
0.03870 85894.54633
0.03956 87870.63885
0.04042 89850.48776
0.04128 91832.02958
0.04214 93813.23016
0.04300 95792.09665
0.04386 97766.67889
0.04472 99735.07733
0.04558 101695.44711
0.04644 103646.00069
0.04730 105584.86252
0.04816 107508.82141
0.04902 109414.08097
0.04988 111297.02612
0.05074 113154.23637
0.05160 114982.49519
0.05246 116778.79267
0.05332 118540.34150
0.05418 120264.56901
0.05504 121949.12776
0.05590 123591.89963
0.05676 125190.99309
0.05762 126744.74189
0.05848 128251.71305
0.05934 129710.69222
0.06020 131120.69430
0.06106 132480.94748
0.06192 133790.89725
0.06278 135050.19567
0.06364 136258.69481
0.06450 137416.44263
0.06536 138523.67242
0.06622 139580.79208
0.06708 140588.37878
0.06794 141547.16436
0.06880 142458.03125
0.06966 143321.99254
0.07052 144140.18928
0.07138 144913.87714
0.07224 145644.40913
0.07310 146333.23154
0.07396 146981.87068
0.07482 147591.91679
0.07568 148165.01748
0.07654 148702.86699
0.07740 149207.19021
0.07826 149679.74004
0.07912 150122.27738
0.07998 150536.57245
0.08084 150924.38480
0.08170 151287.46468
0.08256 151627.53697
0.08342 151946.29859
0.08428 152245.40513
0.08514 152526.47485
0.08600 152791.07401
0.08686 153040.71159
0.08772 153276.84187
0.08858 153500.85252
0.08944 153714.06854
0.09030 153917.74294
0.09116 154113.05677
0.09202 154301.11907
0.09288 154482.96293
0.09374 154659.55078
0.09460 154831.76371
0.09546 155000.41354
0.09632 155166.23341
0.09718 155329.88848
0.09804 155491.96795
0.09890 155652.99569
0.09976 155813.42357
0.10062 155973.64350
0.10148 156133.98341
0.10234 156294.70988
0.10320 156456.03621
0.10406 156618.12235
0.10492 156781.07760
0.10578 156944.96728
0.10664 157109.81139
0.10750 157275.59527
0.10836 157442.26559
0.10922 157609.73705
0.11008 157777.90033
0.11094 157946.61680
0.11180 158115.72918
0.11266 158285.06417
0.11352 158454.42982
0.11438 158623.62884
0.11524 158792.44929
0.11610 158960.68189
0.11696 159128.10669
0.11782 159294.51175
0.11868 159459.68378
0.11954 159623.41483
0.12040 159785.50630
0.12126 159945.76889
0.12212 160104.02265
0.12298 160260.10229
0.12384 160413.85584
0.12470 160565.14868
0.12556 160713.86215
0.12642 160859.89364
0.12728 161003.16048
0.12814 161143.60003
0.12900 161281.16563
0.12986 161415.83328
0.13072 161547.59634
0.13158 161676.46944
0.13244 161802.48326
0.13330 161925.68845
0.13416 162046.15300
0.13502 162163.96220
0.13588 162279.21738
0.13674 162392.03451
0.13760 162502.54154
0.13846 162610.88245
0.13932 162717.20653
0.14018 162821.67907
0.14104 162924.46803
0.14190 163025.74937
0.14276 163125.70438
0.14362 163224.51567
0.14448 163322.36720
0.14534 163419.44292
0.14620 163515.92280
0.14706 163611.98544
0.14792 163707.80015
0.14878 163803.53221
0.14964 163899.33359
0.15050 163995.35091
0.15136 164091.71481
0.15222 164188.54393
0.15308 164285.94491
0.15394 164384.00439
0.15480 164482.79835
0.15566 164582.38145
0.15652 164682.79367
0.15738 164784.05368
0.15824 164886.16415
0.15910 164989.11041
0.15996 165092.85780
0.16082 165197.35167
0.16168 165302.52270
0.16254 165408.28292
0.16340 165514.52835
0.16426 165621.13636
0.16512 165727.97231
0.16598 165834.88558
0.16684 165941.71620
0.16770 166048.28688
0.16856 166154.41501
0.16942 166259.90730
0.17028 166364.56246
0.17114 166468.17655
0.17200 166570.53895
0.17286 166671.43506
0.17372 166770.65424
0.17458 166867.98191
0.17544 166963.20876
0.17630 167056.12819
0.17716 167146.53892
0.17802 167234.24765
0.17888 167319.06777
0.17974 167400.82466
0.18060 167479.35169
0.18146 167554.49690
0.18232 167626.12032
0.18318 167694.09666
0.18404 167758.31260
0.18490 167818.67484
0.18576 167875.10073
0.18662 167927.53029
0.18748 167975.91285
0.18834 168020.22177
0.18920 168060.44238
0.19006 168096.57735
0.19092 168128.64799
0.19178 168156.68898
0.19264 168180.75230
0.19350 168200.90459
0.19436 168217.22451
0.19522 168229.80670
0.19608 168238.75513
0.19694 168244.18843
0.19780 168246.23192
0.19866 168245.02023
0.19952 168240.69731
0.20038 168233.40980
0.20124 168223.30966
0.20210 168210.55418
0.20296 168195.29799
0.20382 168177.69706
0.20468 168157.90601
0.20554 168136.07280
0.20640 168112.34141
0.20726 168086.84911
0.20812 168059.72390
0.20898 168031.08172
0.20984 168001.02657
0.21070 167969.64775
0.21156 167937.02125
0.21242 167903.20170
0.21328 167868.22911
0.21414 167832.11948
0.21500 167794.87146
0.21586 167756.45706
0.21672 167716.82698
0.21758 167675.90521
